transcripcion,efectiva,resultado_original,Tipo_Llamada
"Hola, buenas tardes. Sí señora. Estamos hablando con Liana, estamos comunicando para el médico de domicilio. ¿Cómo estás? Muy bien. Y está listo. Confirma que en este momento ya tenemos disponibilidad. Más o menos se demoran entre una a dos horas. Normalmente ellos llegan antes, pero es el tiempo estimado por temas de tráfico, por temas de gima y demás. ¿Listo? Muchas gracias, lo viste. No con todo gusto. La primera persona que va a ser la adutora que va a dirigir a tu hijo va a ser... Liliana Fernandez. Dice para que lo tenga súper frente. Sí, Liliana Fernandez. Sí, Liliana Fernandez. Y quería confirmar contigo el nombre de tu hijo, por favor. Lilian Daniel Andrade. Lilian Daniel Andrade. Andrade Romero. Romero. Muchas gracias. Con gusto. Erika, ¿es que ya me he directamente a la señora Rosa o tú te cargas de darle la información? y como sea mejor o sea igual yo no estoy con él entonces pues él manifestará sus dolores en su momento igual el médico me llama ¿si? si claro que si no tengo si es por eso igual nosotros le entregamos fue el número de teléfono de la señora rosa quien es la que va a abrir la puerta de todas maneras yo me voy a comunicar en este momento con la señora rosa como para brindarle también la información ustedes queden tranquilos un minutito yo la llamo y digo que tu la vas a llamar Muchas gracias.",0.0,Contactado,Saliente
"¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? ¿De dónde? Ok, perfecto. ¿Qué opinas, Juan?",0.0,Sin Clasificar,Entrante
"¿Cómo está, señor Isabel? Hola, buenas tardes. Me comunico con la señora Isabel. Señora. Señor Isabel, me presento. Mi nombre es Paurel Lampreza, seleccioné soluciones. ¿Cómo estás? Bien. Me alegra muchísimo el escuchado. Esto, señor Isabel, es vuestro principal de mis llamadas. ¿Por qué no la acabas de decir? Por WhatsApp. No, yo no escrito nada No, es una gran mentira porque mi mamá no se enescreve en el celular yo te digo mamá No, no estamos...",0.0,Contactado,Saliente
"Buenas tardes. Buenas. Me comunico con la señora Katia. Sí, mírame. Señora Kostya, me presento. Mi nombre es Paula Lampeta. Queridísimas soluciones. ¿Cómo estás? ¿Cómo te encuentras? Muy bien, gracias. Bien, bien. Me alegra mucho. Me escuchas, señora Katia. El motivo principal de mi llamada es pedirle a Dios nos escribiste, mostrando el interés en el Plan de Caluz. Y si lo haces, el Plan de Caluz es para ti, para algún familiar. No, es... Esto es para mí. Me estaba mirando. Y entonces no... No tenía que consultar con mi hijo. Porque, por lo menos, como yo soy diabética, no sé... No, puedo usar como cocombiando medicamento, pero me estuvo bien eso, pero yo les doy como el teléfono también a un médico que me está reviendo. Ok, perfectamente. Casi, señora, casi hay un dicambio de 5 entras, 3 segundos para poder brindar más información sobre el plan. y ahora mismo estoy aquí en la ciudad de Bogotá. en el plato y las 24, ¿vale? También es tan que sería orientarse a usted en la telefónica y tienes la opción de ambulancia por urgencia u un evento al año. Y yo solo le define si tienes alguna duda que te parece. ¿En cuánto me está saliendo esto? El plano actualmente es el de 79.096, al momento que tus actividades que te entregan lo que serían las seis asistencias. Y lo puedes empezar a plazar después de las 24 horas de haber realizado el final. Ah, claro, que bien. Sí, señora. Muy bueno. Y lo mejor de eso es que tú lo pagas de manera mensual. Sí, lo pideis. Sí, señora. Ya en esta casa, ya acá, tú me invitas cómo te queda mejor realizar el paso. Si por nexia, el plato, el carneto, el cipeto, el tosillo... No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, ¿Tú me indicas en qué momento me podés volver a comer? ¿Un día mañana para que se sienta más? Claro, está, tú me puedes llevar mañana para que podés ir a los sitios y entonces pues ahí ya se muere y es muy bueno que me vea el médico de mi médico aquí en la casa, verdad. Claro, porque tú no tienes que ir a solo sitios a las 3, 4 horas para que te atiendan, ya es que ni lo atienden a uno, sino que es de la comida, es tu casa, va a ir el mes y va a atenderte, es algo muy bueno. Sí, lo siento. Aquí, miramos, yo no serví aquí. Yo tengo apenas tres meses de estacionamiento, no he venido a ninguna casa. Sí. Ni de ese estado. Hasta ahora, le gustaría problemar que yo no me ayude porque se está viendo, ¿verdad? Es que aquí es como que por un mes, o, no sé, aquí es como muy confortable. Sí, es que la vida de hoy en día es un poquito complicada, como te dices. Y no hay más en la testa. y ya después de las 24 horas ya puedes empezar a sacar tu primera cita bueno, sacar la primera cita no es solo que ya te puede dar el doctor te puede dar un diagnóstico con un tipo atrío claro, claro, son muy buenos, le suena, pero si le voy a hablar con ella eso y eso se ayuda mañana, ya está conmigo vale, entonces mañana hasta la misma hora yo vuelvo a comunicar contigo, ¿vale? sí, sí, vanita, bueno, salvo, mira más, gracias Lola Gracias.",0.0,Contactado,Saliente
"Aló, muy buenos días. Me estoy comunicando, por favor, con el señor Antonio Pérez. Sí, con el mismo. Buenas días. Señor Antonio, mucho gusto. Soy Jennifer Rodríguez, de SLTN. Me estoy contactando contigo por un registro que hiciste a través de Facebook, solicitándonos información para el plan asistencial de mascotas. Me comunico por este medio para poder brindar toda la información necesaria, ¿vale? Sí, pero no, yo no he hecho ninguna para el plan asistencial de mascotas. para mascotas, no he hecho nada de ese programa. ¿Estás interesado en el plan asistencial para mascotas? No, gracias, muy bien. ¿De pronto estás interesado en el plan asistencial? No. ¿Para salud, para el hogar? No, gracias, no, muy bien, porque no te estoy interesando. ¿Por qué no te visitaste en el registro? Bueno, gracias, muy bien. ¿Por qué no te visitaste en el registro?",0.0,Rechazado,
"Hola, buenas tardes. Me estoy comunicando a la universidad de Lacuna. Sí, no, no, sí, ahora somos una empresa aliada, pero quiero expresarles lo que son las eficiencias médicas, psicológicas, entre otras. Ah, no, pero, digamos, con ellos a qué número me puedo comunicar. Es que tengo como ayudas de la metodología que ellos manejan. No, no manejamos contacto directo con ellos. Yo tengo acá un número registrado, no sé si en esa línea le puedan ayudar, sin embargo, que si me dice otro idioma. El indicativo es 601. El indicativo es 601 de Bogotá. Y la línea fija es 307. Sí, señora. Listo, muchas gracias. Dale como les pongo. Bueno, sí, señora, que está muy bien. Gracias, chao.",0.0,Contactado,Entrante
aló señor iban buenos días nuevamente con chaván chatre de selectinés hola iban como está bien señor quería saber si el servicio de seguridad se finaliza de manera correcta o de pronto hay alguna novedad no ninguna novedad si señor muchas gracias todo en orden listo si señor entonces quedamos atentos ante cualquier novedad a lo que le podamos colaborar muy males muchas gracias hermano que esté muy bien hasta luego,0.0,Sin Clasificar,
"Hola. Hola, muy buenas noches. Le hablé de Miranda. fuera de esa contamos con disponibilidad de 5 a 6 de la mañana o de 8 a 9 de la mañana. En este caso, claramente teniendo en cuenta la solicitud de igual manera, se va a consultar con usted si desea agendar alguna de las dos disponibilidades o si podríamos proceder más bien con una orientación médica para que un médico nos ayude a validar el estado de salud de la paciente como se encuentra en este momento y asimismo nos informe si es posible que la paciente pueda esperar la llegada del médico o si es necesario un desplazamiento directamente a urgencias. Gracias, 308. Igualmente, gracias. Hasta luego.",0.0,Contactado,
"Hola. Hola, buenas tardes. ¿Cómo estás? ¿Cómo estás? ¿Me hablas? Sí, me hablas. ¿De qué como estás? Habla Mélanie Ramírez. Hace un rato nos estuvimos comunicando para el médico a domicilio. Quería validar contigo cómo te había ido con la asistencia de la profesional. Me ha ido bien, excelente. De acuerdo. Me da mucho gusto que te vayas a salir el mismo día. Sin embargo, recuerda que el día de mañana nos dos nos vamos a comunicar hasta con el fin de validar cómo si te saliera lista. De acuerdo. Bueno, con gusto.",0.0,Sin Clasificar,Saliente
"Aló Aló muy buenas tardes, tengo el gusto de contestarme con Gustavo Aló muy buenas tardes, tengo el gusto de contestarme con Gustavo para ti o para su familia, cuéntame, es correcto, tu cuarentena de registro?",0.0,Sin Clasificar,Saliente
